,Population 2023,,,,
,,,,,
,,,,,
,Ranking,,Economy,(thousands),
,,,,,
LVA,149,,Latvia," 1,877 ",
GNQ,150,,Equatorial Guinea," 1,848 ",
MKD,151,,North Macedonia," 1,828 ",
XKX,152,,Kosovo," 1,756 ",
BHR,153,,Bahrain," 1,577 ",
TLS,154,,Timor-Leste," 1,384 ",
EST,155,,Estonia," 1,370 ",
TTO,156,,Trinidad and Tobago," 1,368 ",
CYP,157,,Cyprus," 1,345 ",
MUS,158,,Mauritius," 1,261 ",
SWZ,159,,Eswatini," 1,231 ",
DJI,160,,Djibouti," 1,153 ",
FJI,161,,Fiji, 924 ,
COM,162,,Comoros, 850 ,
GUY,163,,Guyana, 826 ,
SLB,164,,Solomon Islands, 800 ,
BTN,165,,Bhutan, 786 ,
MAC,166,,"Macao SAR, China", 679 ,
LUX,167,,Luxembourg, 666 ,
SUR,168,,Suriname, 629 ,
MNE,169,,Montenegro, 616 ,
MLT,170,,Malta, 553 ,
MDV,171,,Maldives, 526 ,
CPV,172,,Cabo Verde, 522 ,
BRN,173,,Brunei Darussalam, 459 ,
BLZ,174,,Belize, 411 ,
BHS,175,,"Bahamas, The", 399 ,
ISL,176,,Iceland, 393 ,
VUT,177,,Vanuatu, 320 ,
NCL,178,,New Caledonia, 290 ,
BRB,179,,Barbados, 282 ,
PYF,180,,French Polynesia, 281 ,
STP,181,,São Tomé and Principe, 231 ,
WSM,182,,Samoa, 217 ,
LCA,183,,St. Lucia, 179 ,
CHI,184,,Channel Islands, 168 ,
GUM,185,,Guam, 167 ,
CUW,186,,Curaçao, 148 ,
KIR,187,,Kiribati, 133 ,
SYC,188,,Seychelles, 120 ,
GRD,189,,Grenada, 117 ,
FSM,190,,"Micronesia, Fed. Sts.", 113 ,
ABW,191,,Aruba, 107 ,
VIR,192,,Virgin Islands (U.S.), 105 ,
TON,193,,Tonga, 105 ,
VCT,194,,St. Vincent and the Grenadines, 101 ,
ATG,195,,Antigua and Barbuda, 93 ,
IMN,196,,Isle of Man, 84 ,
AND,197,,Andorra, 81 ,
CYM,198,,Cayman Islands, 73 ,
DMA,199,,Dominica, 67 ,
BMU,200,,Bermuda, 65 ,
GRL,201,,Greenland, 57 ,
FRO,202,,Faroe Islands, 54 ,
ASM,203,,American Samoa, 48 ,
KNA,204,,St. Kitts and Nevis, 47 ,
TCA,205,,Turks and Caicos Islands, 46 ,
MNP,206,,Northern Mariana Islands, 45 ,
SXM,207,,Sint Maarten (Dutch part), 43 ,
LIE,208,,Liechtenstein, 40 ,
VGB,209,,British Virgin Islands, 39 ,
MCO,210,,Monaco, 39 ,
MHL,211,,Marshall Islands, 39 ,
GIB,212,,Gibraltar, 38 ,
SMR,213,,San Marino, 34 ,
MAF,214,,St. Martin (French part), 28 ,
PLW,215,,Palau, 18 ,
NRU,216,,Nauru, 12 ,
TUV,217,,Tuvalu, 10 ,
,,,,,
,,,,,
WLD,,,World," 8,061,876 ",
,,,,,
EAS,,,East Asia & Pacific," 2,384,464 ",
ECS,,,Europe & Central Asia," 924,970 ",
LCN,,,Latin America & Caribbean," 657,612 ",
MEA,,,Middle East & North Africa," 508,311 ",
NAC,,,North America," 375,077 ",
SAS,,,South Asia," 1,951,540 ",
SSF,,,Sub-Saharan Africa," 1,259,902 ",
LIC,,,Low income," 736,466 ",
LMC,,,Lower middle income," 3,079,779 ",
UMC,,,Upper middle income," 2,816,864 ",
HIC,,,High income," 1,400,466 ",
,,,,,
,a. Excludes Abkhazia and South Ossetia.  b. Excludes Transnistria.  ,,,,
,,,,,
,http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
